Temp,Min,Nom,Max,B25/T, -dT,dT
(degC),(k ohm),(k ohm),(k ohm),(K),(degC),(degC)
-40,181.2,188.5,196.1,3140,-0.7,0.7
-39,171.8,178.6,185.6,3144,-0.7,0.7
-38,162.9,169.2,175.8,3148,-0.7,0.7
-37,154.5,160.4,166.6,3152,-0.7,0.7
-36,146.5,152.1,157.9,3155,-0.7,0.7
-35,139.1,144.3,149.7,3159,-0.7,0.7
-34,132,136.9,141.9,3162,-0.7,0.7
-33,125.4,130,134.7,3166,-0.6,0.7
-32,119.1,123.4,127.8,3169,-0.6,0.6
-31,113.2,117.2,121.3,3173,-0.6,0.6
-30,107.6,111.3,115.2,3176,-0.6,0.6
-29,102.3,105.8,109.4,3180,-0.6,0.6
-28,97.3,100.6,104,3183,-0.6,0.6
-27,92.57,95.64,98.8,3187,-0.6,0.6
-26,88.09,90.97,93.93,3190,-0.6,0.6
-25,83.86,86.56,89.33,3194,-0.6,0.6
-24,79.85,82.38,84.98,3197,-0.6,0.6
-23,76.06,78.43,80.86,3200,-0.6,0.6
-22,72.47,74.69,76.97,3203,-0.6,0.6
-21,69.06,71.14,73.28,3207,-0.6,0.6
-20,65.84,67.79,69.79,3210,-0.6,0.6
-19,62.78,64.61,66.49,3213,-0.6,0.6
-18,59.88,61.6,63.35,3216,-0.6,0.6
-17,57.13,58.74,60.39,3220,-0.6,0.6
-16,54.53,56.03,57.58,3223,-0.6,0.6
-15,52.05,53.46,54.91,3226,-0.6,0.6
-14,49.7,51.03,52.38,3229,-0.5,0.5
-13,47.47,48.71,49.99,3232,-0.5,0.5
-12,45.35,46.52,47.71,3235,-0.5,0.5
-11,43.34,44.43,45.55,3238,-0.5,0.5
-10,41.42,42.45,43.5,3241,-0.5,0.5
-9,39.61,40.57,41.55,3244,-0.5,0.5
-8,37.88,38.78,39.7,3247,-0.5,0.5
-7,36.23,37.08,37.95,3250,-0.5,0.5
-6,34.67,35.46,36.28,3253,-0.5,0.5
-5,33.18,33.93,34.69,3256,-0.5,0.5
-4,31.76,32.46,33.18,3258,-0.5,0.5
-3,30.41,31.07,31.74,3261,-0.5,0.5
-2,29.13,29.75,30.37,3264,-0.5,0.5
-1,27.91,28.49,29.07,3267,-0.5,0.5
0,26.74,27.28,27.83,3270,-0.5,0.5
1,25.63,26.14,26.66,3272,-0.5,0.4
2,24.57,25.05,25.53,3275,-0.4,0.4
3,23.56,24.01,24.46,3278,-0.4,0.4
4,22.6,23.02,23.44,3280,-0.4,0.4
5,21.68,22.07,22.47,3283,-0.4,0.4
6,20.8,21.17,21.54,3286,-0.4,0.4
7,19.97,20.31,20.66,3288,-0.4,0.4
8,19.17,19.49,19.82,3291,-0.4,0.4
9,18.41,18.71,19.01,3294,-0.4,0.4
10,17.68,17.96,18.25,3296,-0.4,0.4
11,16.98,17.25,17.52,3299,-0.4,0.4
12,16.32,16.57,16.82,3301,-0.4,0.4
13,15.68,15.91,16.15,3304,-0.4,0.4
14,15.08,15.29,15.51,3306,-0.4,0.4
15,14.49,14.7,14.9,3308,-0.3,0.3
16,13.94,14.13,14.32,3311,-0.3,0.3
17,13.41,13.59,13.76,3313,-0.3,0.3
18,12.9,13.07,13.23,3316,-0.3,0.3
19,12.41,12.57,12.72,3318,-0.3,0.3
20,11.95,12.09,12.24,3320,-0.3,0.3
21,11.5,11.64,11.77,3323,-0.3,0.3
22,11.08,11.2,11.33,3325,-0.3,0.3
23,10.67,10.78,10.9,3327,-0.3,0.3
24,10.28,10.38,10.49,3330,-0.3,0.3
25,9.9,10,10.1,3332,-0.3,0.3
26,9.533,9.633,9.733,3334,-0.3,0.3
27,9.182,9.282,9.381,3336,-0.3,0.3
28,8.845,8.945,9.044,3338,-0.3,0.3
29,8.523,8.622,8.721,3341,-0.3,0.3
30,8.213,8.312,8.41,3343,-0.3,0.3
31,7.917,8.015,8.113,3345,-0.3,0.3
32,7.633,7.73,7.827,3347,-0.4,0.3
33,7.36,7.456,7.553,3349,-0.4,0.4
34,7.099,7.194,7.29,3351,-0.4,0.4
35,6.848,6.942,7.037,3353,-0.4,0.4
36,6.607,6.7,6.795,3355,-0.4,0.4
37,6.376,6.468,6.562,3357,-0.4,0.4
38,6.154,6.245,6.338,3359,-0.4,0.4
39,5.941,6.031,6.123,3361,-0.4,0.4
40,5.736,5.826,5.916,3363,-0.4,0.4
41,5.54,5.628,5.717,3365,-0.5,0.5
42,5.351,5.438,5.526,3367,-0.5,0.5
43,5.17,5.255,5.342,3369,-0.5,0.5
44,4.995,5.08,5.166,3371,-0.5,0.5
45,4.827,4.911,4.996,3373,-0.5,0.5
46,4.666,4.749,4.832,3374,-0.5,0.5
47,4.511,4.592,4.675,3376,-0.5,0.5
48,4.362,4.442,4.523,3378,-0.6,0.6
49,4.219,4.297,4.377,3380,-0.6,0.6
50,4.081,4.158,4.237,3382,-0.6,0.6
51,3.948,4.024,4.102,3384,-0.6,0.6
52,3.82,3.895,3.971,3385,-0.6,0.6
53,3.697,3.771,3.846,3387,-0.6,0.6
54,3.578,3.651,3.725,3389,-0.6,0.6
55,3.464,3.536,3.609,3390,-0.6,0.6
56,3.354,3.425,3.496,3392,-0.7,0.7
57,3.249,3.318,3.388,3394,-0.7,0.7
58,3.146,3.215,3.284,3396,-0.7,0.7
59,3.048,3.115,3.183,3397,-0.7,0.7
60,2.953,3.019,3.086,3399,-0.7,0.7
61,2.862,2.927,2.992,3400,-0.7,0.7
62,2.774,2.837,2.902,3402,-0.7,0.7
63,2.689,2.751,2.815,3404,-0.8,0.8
64,2.607,2.668,2.731,3405,-0.8,0.8
65,2.528,2.588,2.65,3407,-0.8,0.8
66,2.452,2.511,2.571,3408,-0.8,0.8
67,2.378,2.436,2.496,3410,-0.8,0.8
68,2.307,2.364,2.423,3411,-0.8,0.8
69,2.238,2.295,2.352,3413,-0.8,0.8
70,2.172,2.227,2.284,3414,-0.9,0.9
71,2.108,2.163,2.218,3416,-0.9,0.9
72,2.047,2.1,2.154,3417,-0.9,0.9
73,1.987,2.039,2.093,3419,-0.9,0.9
74,1.929,1.981,2.033,3420,-0.9,0.9
75,1.874,1.924,1.976,3422,-0.9,0.9
76,1.82,1.869,1.92,3423,-1,1
77,1.768,1.817,1.866,3424,-1,1
78,1.718,1.765,1.814,3426,-1,1
79,1.669,1.716,1.764,3427,-1,1
80,1.622,1.668,1.715,3428,-1,1
81,1.577,1.622,1.668,3430,-1,1
82,1.533,1.577,1.623,3431,-1,1
83,1.49,1.534,1.579,3432,-1.1,1.1
84,1.449,1.492,1.536,3434,-1.1,1.1
85,1.409,1.451,1.494,3435,-1.1,1.1
86,1.371,1.412,1.454,3436,-1.1,1.1
87,1.334,1.374,1.416,3437,-1.1,1.1
88,1.298,1.337,1.378,3439,-1.1,1.1
89,1.263,1.302,1.342,3440,-1.2,1.2
90,1.229,1.267,1.306,3441,-1.2,1.2
91,1.196,1.234,1.272,3442,-1.2,1.2
92,1.164,1.201,1.239,3444,-1.2,1.2
93,1.133,1.17,1.207,3445,-1.2,1.2
94,1.104,1.139,1.176,3446,-1.2,1.2
95,1.075,1.11,1.146,3447,-1.3,1.3
96,1.047,1.081,1.117,3448,-1.3,1.3
97,1.02,1.054,1.088,3449,-1.3,1.3
98,0.993,1.027,1.061,3451,-1.3,1.3
99,0.968,1.001,1.034,3452,-1.3,1.3
100,0.943,0.975,1.008,3453,-1.3,1.3
101,0.919,0.951,0.983,3454,-1.4,1.4
102,0.896,0.927,0.959,3455,-1.4,1.4
103,0.873,0.904,0.935,3456,-1.4,1.4
104,0.852,0.881,0.912,3457,-1.4,1.4
105,0.83,0.86,0.89,3458,-1.4,1.4
106,0.81,0.838,0.868,3459,-1.4,1.4
107,0.79,0.818,0.847,3460,-1.5,1.5
108,0.77,0.798,0.827,3461,-1.5,1.5
109,0.752,0.779,0.807,3462,-1.5,1.5
110,0.733,0.76,0.788,3463,-1.5,1.5
111,0.715,0.742,0.769,3464,-1.5,1.5
112,0.698,0.724,0.751,3465,-1.5,1.6
113,0.681,0.707,0.733,3466,-1.6,1.6
114,0.665,0.69,0.716,3467,-1.6,1.6
115,0.649,0.674,0.699,3468,-1.6,1.6
116,0.634,0.658,0.683,3469,-1.6,1.6
117,0.619,0.643,0.667,3470,-1.6,1.6
118,0.605,0.628,0.652,3471,-1.7,1.7
119,0.59,0.613,0.637,3472,-1.7,1.7
120,0.577,0.599,0.622,3473,-1.7,1.7
121,0.563,0.585,0.608,3474,-1.7,1.7
122,0.55,0.572,0.595,3475,-1.7,1.7
123,0.538,0.559,0.581,3476,-1.7,1.8
124,0.526,0.546,0.568,3477,-1.8,1.8
125,0.514,0.534,0.556,3478,-1.8,1.8
